,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
820,Rap God,The Marshall Mathers LP2 (Deluxe),Eminem,2013-11-05,363521,76,0.708,0.397,0.843,0.0,0.799,-2.66,0.314,148.14,4
821,Reckless,Reckless,Madison Beer,2021-06-04,203384,85,0.386,0.807,0.426,0.0,0.14,-6.642,0.0363,180.104,3
822,Run,Run,OneRepublic,2021-05-05,169010,88,0.682,0.326,0.72,0.0,0.148,-8.173,0.0381,117.003,4
823,favorite crime,SOUR,Olivia Rodrigo,2021-05-21,152666,91,0.369,0.866,0.272,0.0,0.147,-10.497,0.0364,172.929,4
824,rockstar (feat. 21 Savage),beerbongs & bentleys,Post Malone,2018-04-27,218146,83,0.585,0.124,0.52,7.01e-05,0.131,-6.136,0.0712,159.801,4
825,No Role Modelz,2014 Forest Hills Drive,J. Cole,2014-12-09,292986,84,0.692,0.301,0.521,0.0,0.0565,-8.465,0.33,100.45,4
826,happier,SOUR,Olivia Rodrigo,2021-05-21,175933,92,0.395,0.765,0.443,9.67e-06,0.0839,-9.72,0.133,168.924,3
827,AM Remix,AM Remix,Nio Garcia,2021-06-24,261334,93,0.743,0.114,0.655,0.0,0.0764,-5.015,0.159,172.031,4
828,ROXANNE,ROXANNE,Arizona Zervas,2019-10-10,163636,82,0.621,0.0522,0.601,0.0,0.46,-5.616,0.148,116.735,5
829,brutal,SOUR,Olivia Rodrigo,2021-05-21,143746,89,0.672,0.0311,0.526,1.37e-06,0.28,-6.446,0.0599,123.999,4
830,Runnin,SAVAGE MODE II,21 Savage,2020-10-02,195906,78,0.819,0.00748,0.626,0.101,0.167,-4.574,0.202,143.01,4
831,Righteous,Legends Never Die,Juice WRLD,2020-07-10,242180,78,0.706,0.0417,0.625,0.0,0.129,-7.426,0.0314,142.948,4
832,drivers license,SOUR,Olivia Rodrigo,2021-05-21,242013,92,0.561,0.768,0.431,1.42e-05,0.106,-8.81,0.0578,143.875,4
833,RUNNING,F*CK LOVE 3+: OVER YOU,The Kid LAROI,2021-07-27,135241,55,0.438,0.377,0.585,0.0,0.13,-5.425,0.0908,100.834,4
834,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Honky Chateau,Elton John,1972-05-19,281613,80,0.601,0.432,0.532,6.25e-06,0.0925,-9.119,0.0286,136.571,4
835,"jealousy, jealousy",SOUR,Olivia Rodrigo,2021-05-21,173160,90,0.695,0.198,0.575,0.0,0.0614,-6.334,0.116,163.929,4
836,Roses - Imanbek Remix,While The World Was Burning,SAINt JHN,2020-11-20,176867,72,0.769,0.0143,0.719,0.00777,0.359,-5.472,0.0474,121.955,4
837,Goosebumps - Remix,Goosebumps (Remix),Travis Scott,2021-01-15,162802,88,0.841,0.418,0.593,0.0,0.124,-7.846,0.0379,124.917,4
838,Rasputin,Rasputin,Majestic,2021-02-26,186209,89,0.758,0.00364,0.913,6.92e-05,0.193,-2.926,0.113,128.04,4
839,Dreams - 2004 Remaster,Rumours (Super Deluxe),Fleetwood Mac,1977-02-04,257800,84,0.828,0.0644,0.492,0.00428,0.128,-9.744,0.0276,120.151,4
840,ROCKSTAR,Summer Hiphop,Various Artists,2021-08-06,181733,0,0.746,0.247,0.69,0.0,0.101,-7.956,0.164,89.979,4
841,4 Da Gang (with Roddy Ricch),Free Dem Boyz,42 Dugg,2021-05-21,156367,78,0.87,0.0124,0.561,0.0,0.103,-10.388,0.186,100.458,4
842,Ransom,We Love You Tecca,Lil Tecca,2019-08-30,131240,80,0.745,0.0204,0.642,0.0,0.0658,-6.257,0.287,179.974,4
843,Todo De Ti,Todo De Ti,Rauw Alejandro,2021-05-20,199604,95,0.78,0.31,0.718,0.000163,0.0932,-3.605,0.0506,127.949,4
844,RUNITUP (feat. Teezo Touchdown),CALL ME IF YOU GET LOST,"Tyler, The Creator",2021-06-25,229564,75,0.665,0.565,0.469,0.000317,0.219,-7.778,0.13,115.852,4
845,Rojo,Verano Fiestero Vol. 1,Various Artists,2021-08-06,151146,0,0.652,0.15,0.595,0.000106,0.0836,-4.04,0.117,172.277,4
846,Rät,Public Void,Penelope Scott,2020-09-25,194165,77,0.608,0.322,0.45,0.000122,0.147,-13.291,0.248,143.846,4
847,Rumble (feat. Tay Floss),Faith (Deluxe),Pop Smoke,2021-07-31,204590,51,0.812,0.186,0.689,0.000115,0.123,-7.138,0.203,122.003,4
848,Run Down (feat. OnPointLikeOP & G Herbo),Faith (Deluxe),Pop Smoke,2021-07-31,180000,48,0.663,0.0612,0.618,1.23e-05,0.333,-6.415,0.111,139.906,4
849,Ribs,Pure Heroine (Extended),Lorde,2013-01-01,258969,77,0.511,0.534,0.472,0.614,0.11,-9.277,0.091,127.978,4
850,STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,2021-07-09,141805,98,0.591,0.0383,0.764,0.0,0.103,-5.484,0.0483,169.928,4
851,Streets,Hot Pink,Doja Cat,2019-11-07,226986,86,0.749,0.208,0.463,0.0371,0.337,-8.433,0.0828,90.028,4
852,Save Your Tears (with Ariana Grande) (Remix),Save Your Tears (Remix),The Weeknd,2021-04-23,191013,94,0.65,0.0215,0.825,2.44e-05,0.0936,-4.645,0.0325,118.091,4
853,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,2021-04-09,208866,95,0.762,0.235,0.701,0.000158,0.123,-3.541,0.0286,110.968,4
854,Sweater Weather,I Love You.,The Neighbourhood,2013-04-19,240400,87,0.612,0.0495,0.807,0.0177,0.101,-2.81,0.0336,124.053,4
855,good 4 u,SOUR,Olivia Rodrigo,2021-05-21,178146,99,0.563,0.335,0.664,0.0,0.0849,-5.044,0.154,166.928,4
856,Save Your Tears,After Hours,The Weeknd,2020-03-20,215626,88,0.68,0.0212,0.826,1.24e-05,0.543,-5.487,0.0309,118.051,4
857,Ain't Shit,Planet Her,Doja Cat,2021-06-25,174253,90,0.855,0.506,0.488,0.0,0.347,-4.601,0.208,124.097,4
858,Solid (feat. Drake),Slime Language 2,Young Stoner Life,2021-04-16,215693,82,0.887,0.0392,0.485,0.0,0.141,-9.358,0.2,125.987,4
859,Thot Shit,Thot Shit,Megan Thee Stallion,2021-06-11,184634,88,0.95,0.0133,0.693,0.0,0.173,-3.424,0.0898,130.02,4
860,Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,2018-12-14,158040,82,0.76,0.556,0.479,0.0,0.0703,-5.574,0.0466,89.911,4
861,Somebody That I Used To Know,Making Mirrors,Gotye,2011-01-01,244973,76,0.864,0.591,0.495,0.000133,0.0992,-7.036,0.037,129.062,4
862,Skate,Skate,Bruno Mars,2021-07-30,203122,82,0.719,0.0384,0.631,0.0,0.109,-7.779,0.0312,111.982,4
863,traitor,SOUR,Olivia Rodrigo,2021-05-21,229226,94,0.38,0.691,0.339,0.0,0.12,-7.885,0.0338,100.607,4
864,Sorry,Capodanno 2020 Canzoni per bambini,Various Artists,2021-08-05,200786,1,0.679,0.0878,0.748,0.0,0.299,-3.624,0.0385,100.035,4
865,Bad Habits,Bad Habits,Ed Sheeran,2021-06-25,231041,98,0.808,0.0469,0.897,3.14e-05,0.364,-3.712,0.0348,126.026,4
866,Slumber Party (feat. Princess Nokia),DEMIDEVIL,Ashnikko,2021-01-15,178404,82,0.964,0.00151,0.398,3.95e-05,0.101,-8.981,0.0795,105.012,4
867,Santa Claus Is Coming To Town,Christmas Songs For Kids,Various Artists,2021-08-06,216720,0,0.639,0.027,0.836,0.0,0.283,-4.878,0.048,104.998,4
868,NOT SOBER (feat. Polo G & Stunna Gambino),F*CK LOVE 3: OVER YOU,The Kid LAROI,2021-07-23,216000,84,0.671,0.0928,0.639,0.0,0.0941,-6.852,0.134,119.82,5
869,Sex on Fire,Only By The Night,Kings of Leon,2008-09-23,203346,80,0.542,0.00172,0.905,0.0104,0.136,-5.653,0.054,153.398,4
870,SLOW DANCING IN THE DARK,BALLADS 1,Joji,2018-10-26,209273,82,0.515,0.544,0.479,0.00598,0.191,-7.458,0.0261,88.964,4
871,Space Song,Depression Cherry,Beach House,2015-08-28,320466,78,0.508,0.229,0.792,0.124,0.145,-7.311,0.0297,147.067,4
872,t r a n s p a r e n t s o u l feat. Travis Barker,t r a n s p a r e n t s o u l feat. Travis Barker,WILLOW,2021-04-27,168030,86,0.39,0.0021,0.83,0.0,0.156,-5.201,0.0563,90.021,4
873,Sin Compromiso,Radar Latino,Various Artists,2021-08-06,189026,0,0.774,0.193,0.914,0.0,0.427,-4.739,0.159,98.031,4
874,deja vu,SOUR,Olivia Rodrigo,2021-05-21,215506,94,0.442,0.584,0.612,5.7e-06,0.37,-7.222,0.112,180.917,4
875,Safari,Tumbao Latino,Various Artists,2021-08-06,205600,0,0.689,0.531,0.675,3.17e-06,0.115,-4.281,0.32,180.077,4
876,"1 step forward, 3 steps back",SOUR,Olivia Rodrigo,2021-05-21,163586,86,0.473,0.941,0.203,0.0,0.126,-12.627,0.102,168.884,4
877,Ski,Slime Language 2,Young Stoner Life,2021-04-16,152333,78,0.953,0.017,0.621,0.0,0.0398,-7.638,0.221,123.016,4
878,Smells Like Teen Spirit,Nevermind (Remastered),Nirvana,1991-09-26,301920,77,0.502,2.55e-05,0.912,0.000173,0.106,-4.556,0.0564,116.761,4
879,I WANNA BE YOUR SLAVE,Teatro d'ira - Vol. I,Måneskin,2021-03-19,173346,95,0.75,0.00165,0.608,0.0,0.178,-4.008,0.0387,132.507,4
880,SAD!,?,XXXTENTACION,2018-03-16,166605,83,0.74,0.258,0.613,0.00372,0.123,-4.88,0.145,75.023,4
881,Beautiful Mistakes (feat. Megan Thee Stallion),JORDI (Deluxe),Maroon 5,2021-06-11,227395,88,0.713,0.0377,0.676,0.0,0.154,-5.483,0.027,99.048,4
882,Watermelon Sugar,Fine Line,Harry Styles,2019-12-13,174000,90,0.548,0.122,0.816,0.0,0.335,-4.209,0.0465,95.39,4
883,SICKO MODE,ASTROWORLD,Travis Scott,2018-08-03,312820,83,0.834,0.00513,0.73,0.0,0.124,-3.714,0.222,155.008,4
884,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,182160,86,0.501,0.751,0.405,0.0,0.105,-5.679,0.0319,109.891,4
885,favorite crime,SOUR,Olivia Rodrigo,2021-05-21,152666,91,0.369,0.866,0.272,0.0,0.147,-10.497,0.0364,172.929,4
886,SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),CALL ME IF YOU GET LOST,"Tyler, The Creator",2021-06-25,588139,79,0.468,0.333,0.652,0.000318,0.55,-4.912,0.0722,140.223,4
887,Wants and Needs (feat. Lil Baby),Scary Hours 2,Drake,2021-03-05,192956,88,0.578,0.0618,0.449,2.17e-06,0.119,-6.349,0.286,136.006,4
888,See You Again (feat. Kali Uchis),Flower Boy,"Tyler, The Creator",2017-07-21,180386,79,0.558,0.371,0.559,7.49e-06,0.109,-9.222,0.0959,78.558,4
889,Butter,"Butter (Hotter, Sweeter, Cooler)",BTS,2021-06-04,164441,96,0.759,0.00323,0.459,0.0,0.0906,-5.187,0.0948,109.997,4
890,Star Shopping,Star Shopping,Lil Peep,2015,142000,82,0.585,0.0967,0.471,0.0184,0.115,-9.934,0.0616,93.099,4
891,Sure Thing,All I Want Is You,Miguel,2010-11-26,195373,80,0.684,0.0267,0.607,0.000307,0.191,-8.127,0.1,81.001,4
892,happier,SOUR,Olivia Rodrigo,2021-05-21,175933,92,0.395,0.765,0.443,9.67e-06,0.0839,-9.72,0.133,168.924,3
893,Sweet Home Alabama,Second Helping,Lynyrd Skynyrd,1974-04-15,283800,82,0.596,0.181,0.605,0.000331,0.0863,-12.145,0.0255,97.798,4
894,The Spins,K.I.D.S.,Mac Miller,2010-08-13,195873,80,0.794,0.0135,0.766,0.0,0.0785,-3.894,0.0377,127.007,4
895,Sunday Best,Where the Light Is,Surfaces,2019-01-06,158571,80,0.878,0.183,0.525,0.0,0.0714,-6.832,0.0578,112.022,4
896,All Girls Are The Same,Goodbye & Good Riddance,Juice WRLD,2018-12-10,165819,83,0.671,0.0769,0.529,0.000335,0.0856,-7.226,0.307,161.989,4
897,STILL CHOSE YOU (feat. Mustard),F*CK LOVE 3+: OVER YOU,The Kid LAROI,2021-07-27,171428,69,0.724,0.41,0.5,0.0,0.115,-7.112,0.259,97.694,4
898,m y . l i f e (with 21 Savage & Morray),The Off-Season,J. Cole,2021-05-14,218801,83,0.597,0.0622,0.587,0.0,0.214,-7.026,0.137,140.021,4
899,Solar Power,Solar Power,Lorde,2021-06-10,192621,82,0.735,0.266,0.47,0.000105,0.32,-9.405,0.1,87.971,4
900,traitor,SOUR,Olivia Rodrigo,2021-05-21,229226,94,0.38,0.691,0.339,0.0,0.12,-7.885,0.0338,100.607,4
901,telepatía,Sin Miedo (del Amor y Otros Demonios) ∞,Kali Uchis,2020-12-04,160191,88,0.653,0.112,0.524,0.0,0.203,-9.016,0.0502,83.97,4
902,Thot Shit,Thot Shit,Megan Thee Stallion,2021-06-11,184634,88,0.95,0.0133,0.693,0.0,0.173,-3.424,0.0898,130.02,4
903,STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,2021-07-09,141805,98,0.591,0.0383,0.764,0.0,0.103,-5.484,0.0483,169.928,4
904,Todo De Ti,Todo De Ti,Rauw Alejandro,2021-05-20,199604,95,0.78,0.31,0.718,0.000163,0.0932,-3.605,0.0506,127.949,4
905,Talking to the Moon,Doo-Wops & Hooligans,Bruno Mars,2010-10-05,217866,83,0.523,0.512,0.606,0.0,0.106,-4.754,0.0301,145.837,4
906,Tell Em,Tell Em,Cochise,2021-05-28,180379,85,0.672,0.103,0.717,0.0,0.398,-7.476,0.226,157.905,4
907,Leave The Door Open,Leave The Door Open,Bruno Mars,2021-03-05,242096,92,0.586,0.182,0.616,0.0,0.0927,-7.964,0.0324,148.088,4
908,t r a n s p a r e n t s o u l feat. Travis Barker,t r a n s p a r e n t s o u l feat. Travis Barker,WILLOW,2021-04-27,168030,86,0.39,0.0021,0.83,0.0,0.156,-5.201,0.0563,90.021,4
909,Save Your Tears (with Ariana Grande) (Remix),Save Your Tears (Remix),The Weeknd,2021-04-23,191013,94,0.65,0.0215,0.825,2.44e-05,0.0936,-4.645,0.0325,118.091,4
910,The Spins,K.I.D.S.,Mac Miller,2010-08-13,195873,80,0.794,0.0135,0.766,0.0,0.0785,-3.894,0.0377,127.007,4
911,Happier Than Ever,Happier Than Ever,Billie Eilish,2021-07-30,298899,89,0.332,0.767,0.225,0.00349,0.128,-8.697,0.0348,81.055,3
912,Tennessee Whiskey,Traveller,Chris Stapleton,2015-05-04,293293,79,0.392,0.205,0.37,0.0096,0.0821,-10.888,0.0298,48.718,4
913,The Box,Please Excuse Me for Being Antisocial,Roddy Ricch,2019-12-06,196652,84,0.896,0.104,0.586,0.0,0.79,-6.687,0.0559,116.971,4
914,Throat Baby (Go Baby) (with DaBaby & City Girls) - Remix,Throat Baby (Go Baby) (with DaBaby & City Girls) [Remix],BRS Kash,2021-01-21,211609,65,0.878,0.00984,0.475,0.0,0.167,-8.42,0.324,131.988,4
915,Tongue Tied,Never Trust a Happy Song,Grouplove,2011-09-02,218013,81,0.56,0.00847,0.936,0.0,0.161,-5.835,0.0439,112.96,4
916,The Less I Know The Better,Currents,Tame Impala,2015-07-17,216320,83,0.64,0.0115,0.74,0.00678,0.167,-4.083,0.0284,116.879,4
917,Miss The Rage (feat. Playboi Carti),Miss The Rage (feat. Playboi Carti),Trippie Redd,2021-05-07,236883,86,0.584,0.0144,0.859,0.0,0.847,-5.616,0.121,77.005,4
918,Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf,2021-01-06,132780,90,0.778,0.175,0.695,0.0,0.15,-6.865,0.0913,149.996,4
919,Tranquila,Nivel Reggaeton,Various Artists,2021-08-06,199946,0,0.72,0.0334,0.669,0.0,0.147,-6.244,0.207,175.934,4
920,Ain't Shit,Planet Her,Doja Cat,2021-06-25,174253,90,0.855,0.506,0.488,0.0,0.347,-4.601,0.208,124.097,4
921,The Hills,Beauty Behind The Madness,The Weeknd,2015-08-28,242253,84,0.585,0.0671,0.564,0.0,0.135,-7.063,0.0515,113.003,4
922,WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),CALL ME IF YOU GET LOST,"Tyler, The Creator",2021-06-25,121572,85,0.493,0.269,0.653,0.0,0.511,-5.666,0.0466,142.347,4
923,the lakes - original version,the lakes (original version),Taylor Swift,2021-07-24,227203,68,0.197,0.717,0.406,0.000362,0.293,-10.904,0.0619,90.053,4
924,Beautiful Mistakes (feat. Megan Thee Stallion),JORDI (Deluxe),Maroon 5,2021-06-11,227395,88,0.713,0.0377,0.676,0.0,0.154,-5.483,0.027,99.048,4
925,Therefore I Am,Happier Than Ever,Billie Eilish,2021-07-30,173539,76,0.879,0.227,0.365,0.135,0.0583,-7.781,0.0924,94.016,4
926,Blinding Lights,After Hours,The Weeknd,2020-03-20,200040,92,0.514,0.00146,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,4
927,The Way Life Goes (feat. Oh Wonder),Luv Is Rage 2,Lil Uzi Vert,2017-08-25,221746,78,0.703,0.617,0.757,0.0,0.106,-3.612,0.05,82.008,4
928,'Till I Collapse,The Eminem Show,Eminem,2002-05-26,297786,83,0.548,0.0622,0.847,0.0,0.0816,-3.237,0.186,171.447,4
929,The Business,The Business,Tiësto,2020-09-16,164000,90,0.798,0.414,0.62,0.0192,0.112,-7.079,0.232,120.031,4
930,Time Today,A Gangsta’s Pain,Moneybagg Yo,2021-04-23,136899,76,0.912,0.0458,0.608,0.0,0.248,-7.686,0.397,136.994,4
931,All Girls Are The Same,Goodbye & Good Riddance,Juice WRLD,2018-12-10,165819,83,0.671,0.0769,0.529,0.000335,0.0856,-7.226,0.307,161.989,4
932,The Night We Met,Strange Trails,Lord Huron,2015-04-07,208211,75,0.545,0.969,0.366,0.267,0.641,-9.51,0.0378,86.997,3
933,Hats Off (feat. Travis Scott),The Voice of the Heroes,Lil Baby,2021-06-04,257428,81,0.596,0.138,0.65,0.0,0.14,-5.167,0.337,133.997,4
934,The Chain - 2004 Remaster,Rumours (Super Deluxe),Fleetwood Mac,1977-02-04,270213,81,0.545,0.009,0.67,0.000822,0.0451,-8.81,0.0496,151.553,4
935,The Bones,GIRL,Maren Morris,2019-03-08,197293,77,0.612,0.278,0.57,0.0,0.0963,-6.642,0.0347,77.004,4
936,Save Your Tears,After Hours,The Weeknd,2020-03-20,215626,88,0.68,0.0212,0.826,1.24e-05,0.543,-5.487,0.0309,118.051,4
937,The Middle,Bleed American,Jimmy Eat World,2001-07-17,165853,78,0.643,0.0371,0.849,0.0,0.058,-5.428,0.0526,162.152,4
938,Sweater Weather,I Love You.,The Neighbourhood,2013-04-19,240400,87,0.612,0.0495,0.807,0.0177,0.101,-2.81,0.0336,124.053,4
939,The Good Ones,Goldmine,Gabby Barrett,2020-06-19,215140,76,0.519,0.18,0.552,0.0,0.149,-5.023,0.0259,89.957,4
940,Over The Top (feat. Drake),Over The Top (feat. Drake),Smiley,2021-07-23,153406,82,0.833,0.0493,0.498,0.0,0.119,-5.196,0.117,139.928,4
941,The Real Slim Shady,The Marshall Mathers LP,Eminem,2000-05-23,284200,84,0.949,0.0302,0.661,0.0,0.0454,-4.244,0.0572,104.504,4
942,Truth Hurts,Cuz I Love You (Super Deluxe),Lizzo,2019-04-19,173325,76,0.715,0.11,0.624,0.0,0.123,-3.046,0.114,158.087,4
943,You Right,Planet Her,Doja Cat,2021-06-25,186173,89,0.828,0.0164,0.621,0.00233,0.0845,-6.414,0.0565,128.986,4
944,Twerkulator,Twerkulator,City Girls,2021-05-21,138541,76,0.895,0.0012,0.469,4.56e-05,0.192,-5.882,0.0661,126.917,4
945,WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B,2020-08-07,187541,84,0.935,0.0194,0.454,0.0,0.0824,-7.509,0.375,133.073,4
946,Tampa,Bonfidential Files,Cico P,2021-01-08,176160,75,0.888,0.157,0.407,0.0,0.0914,-10.158,0.487,77.031,4
947,Welcome to the Internet,Inside (The Songs),Bo Burnham,2021-06-10,275999,81,0.665,0.663,0.527,0.0,0.306,-8.588,0.429,94.711,3
948,That's What I Like,24K Magic,Bruno Mars,2016-11-17,206693,82,0.853,0.013,0.56,0.0,0.0944,-4.961,0.0406,134.066,4
949,NOT SOBER (feat. Polo G & Stunna Gambino),F*CK LOVE 3: OVER YOU,The Kid LAROI,2021-07-23,216000,84,0.671,0.0928,0.639,0.0,0.0941,-6.852,0.134,119.82,5
950,Up,Up,Cardi B,2021-02-05,156944,83,0.868,0.0012,0.795,0.0193,0.0461,-6.044,0.269,166.0,4
951,good 4 u,SOUR,Olivia Rodrigo,2021-05-21,178146,99,0.563,0.335,0.664,0.0,0.0849,-5.044,0.154,166.928,4
952,UN DIA (ONE DAY),Latin Dance Party,Various Artists,2021-08-06,232253,0,0.579,0.00491,0.687,0.0,0.181,-8.23,0.0618,168.157,4
953,Umbrella,Good Girl Gone Bad: Reloaded,Rihanna,2008-06-02,275986,80,0.583,0.00864,0.829,0.0,0.0426,-4.603,0.134,174.028,4
954,Uptown Funk (feat. Bruno Mars),Uptown Special,Mark Ronson,2015-01-12,269666,82,0.856,0.00801,0.609,8.15e-05,0.0344,-7.223,0.0824,114.988,4
955,hope ur ok,SOUR,Olivia Rodrigo,2021-05-21,209560,84,0.443,0.388,0.298,1e-05,0.103,-12.181,0.0644,77.253,4
956,Unwritten,Unwritten,Natasha Bedingfield,2004-08-30,259333,77,0.706,0.00584,0.8,0.0,0.0822,-6.333,0.0399,100.011,4
957,UN DIA (ONE DAY) (Feat. Tainy),UN DIA (ONE DAY) (Feat. Tainy),J Balvin,2020-07-24,232253,83,0.571,0.00536,0.693,0.0,0.173,-8.234,0.0545,168.169,4
958,t r a n s p a r e n t s o u l feat. Travis Barker,t r a n s p a r e n t s o u l feat. Travis Barker,WILLOW,2021-04-27,168030,86,0.39,0.0021,0.83,0.0,0.156,-5.201,0.0563,90.021,4
959,Under the Bridge,Blood Sugar Sex Magik (Deluxe Edition),Red Hot Chili Peppers,1991-09-24,264306,80,0.559,0.0576,0.345,0.000105,0.141,-13.496,0.0459,84.581,4
960,telepatía,Sin Miedo (del Amor y Otros Demonios) ∞,Kali Uchis,2020-12-04,160191,88,0.653,0.112,0.524,0.0,0.203,-9.016,0.0502,83.97,4
961,UCLA,NOVA,RL Grime,2018-07-27,192000,72,0.536,0.0742,0.879,0.0,0.0847,-3.019,0.0621,140.137,4
962,Unforgettable,Jungle Rules,French Montana,2017-07-14,233901,80,0.726,0.0293,0.769,0.0101,0.104,-5.043,0.123,97.985,4
963,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)","His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",Internet Money,2021-05-13,224042,84,0.792,0.116,0.707,0.0,0.12,-5.218,0.0623,134.997,4
964,Under Pressure - Remastered 2011,Hot Space (Deluxe Remastered Version),Queen,1982-05-03,248440,72,0.671,0.422,0.711,0.0,0.104,-7.813,0.0478,113.809,4
965,Run It Up (feat. Offset & Moneybagg Yo),Destined 2 Win,Lil Tjay,2021-04-02,232048,81,0.88,0.415,0.575,0.0,0.109,-6.091,0.163,120.031,4
966,Uptown Girl,An Innocent Man,Billy Joel,1983-08-08,197706,77,0.701,0.0755,0.944,0.0,0.601,-2.986,0.0455,128.993,4
967,Up Down (feat. Florida Georgia Line),If I Know Me,Morgan Wallen,2018-04-27,197253,72,0.589,0.0813,0.882,0.0,0.146,-3.039,0.035,129.915,4
968,JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),CALL ME IF YOU GET LOST,"Tyler, The Creator",2021-06-25,146419,80,0.827,0.0195,0.571,0.0,0.166,-7.949,0.366,142.034,4
969,Pumped Up Kicks,Torches,Foster The People,2011-05-23,239600,83,0.733,0.145,0.71,0.115,0.0956,-5.849,0.0292,127.975,4
970,Upside Down,Jack Johnson And Friends: Sing-A-Longs And Lullabies For The Film Curious George,Jack Johnson,2006,208653,67,0.787,0.238,0.655,0.000171,0.138,-8.339,0.0431,102.485,4
971,Under The Sun (with J. Cole & Lute feat. DaBaby),Revenge Of The Dreamers III,Dreamville,2019-07-05,202040,73,0.691,0.511,0.64,0.0,0.409,-6.441,0.369,138.672,4
972,See You Again (feat. Kali Uchis),Flower Boy,"Tyler, The Creator",2017-07-21,180386,79,0.558,0.371,0.559,7.49e-06,0.109,-9.222,0.0959,78.558,4
973,Under Pressure,Hot Space,Queen,1982-05-03,245506,58,0.659,0.394,0.545,0.0,0.0859,-12.768,0.0514,113.458,4
974,Party In The U.S.A.,The Time Of Our Lives,Miley Cyrus,2009-01-01,202066,74,0.652,0.00112,0.698,0.000115,0.0886,-4.667,0.042,96.021,4
975,Ultralight Beam,The Life Of Pablo,Kanye West,2016-06-10,320680,71,0.592,0.62,0.403,0.0,0.54,-8.768,0.414,105.169,4
976,untitled,Bobby Tarantino III,Logic,2021-07-30,129197,65,0.726,0.252,0.674,0.000163,0.0991,-4.683,0.213,93.14,4
977,Get You (feat. Kali Uchis),Freudian,Daniel Caesar,2017-08-25,278179,80,0.658,0.422,0.294,5.2e-05,0.0749,-8.533,0.0321,74.038,4
978,LONELY AND F*CKED UP,F*CK LOVE 3+: OVER YOU,The Kid LAROI,2021-07-27,162818,68,0.752,0.0421,0.631,0.0,0.188,-6.809,0.0495,124.983,4
979,unravel,Fantastic Magic,TK from Ling tosite sigure,2014-08-27,238360,74,0.507,0.0495,0.889,0.0,0.0983,-2.755,0.086,135.021,4
980,u love u (with Tate McRae),u love u (with Tate McRae),blackbear,2021-06-04,189062,75,0.544,0.0156,0.704,0.0,0.164,-5.678,0.0435,80.029,4
981,ERASE U,F*CK LOVE 3: OVER YOU,The Kid LAROI,2021-07-23,109094,60,0.75,0.0458,0.641,0.0,0.193,-5.134,0.0353,144.988,4
982,Unchained Melody,Just Once In My Life,The Righteous Brothers,1965-04-04,218013,72,0.339,0.396,0.208,0.000519,0.18,-16.725,0.0308,98.54,3
983,Used To,Goodbye & Good Riddance,Juice WRLD,2018-12-10,176443,72,0.631,0.0963,0.709,0.0,0.376,-4.666,0.0505,84.504,4
984,20 Min,Luv Is Rage 2 (Deluxe),Lil Uzi Vert,2017-11-17,220586,81,0.773,0.109,0.75,0.0,0.174,-4.009,0.117,123.426,4
985,Unlock it (Lock It) - feat. Kim Petras and Jay Park,Pop 2,Charli XCX,2017-12-15,232933,72,0.504,0.0585,0.711,1.83e-05,0.382,-5.864,0.0452,134.824,4
986,Use Somebody,Only By The Night,Kings of Leon,2008-09-23,230760,76,0.276,0.00552,0.715,0.000417,0.201,-5.356,0.0432,137.028,4
987,ERASE U,F*CK LOVE 3+: OVER YOU,The Kid LAROI,2021-07-27,109094,56,0.75,0.0458,0.641,0.0,0.193,-5.134,0.0353,144.988,4
988,Up Up And Away,Legends Never Die,Juice WRLD,2020-07-10,147547,72,0.661,0.538,0.665,0.0,0.0981,-6.356,0.053,75.059,4
989,Cover Me Up,Dangerous: The Double Album,Morgan Wallen,2021-01-08,293706,74,0.549,0.232,0.44,7.37e-06,0.107,-8.192,0.0264,128.01,3
990,Unsteady,VHS,X Ambassadors,2015-06-30,193546,75,0.389,0.178,0.665,0.000732,0.116,-6.169,0.0644,117.055,4
991,Wake Me Up,True,Avicii,2013-01-01,247426,84,0.532,0.0038,0.783,0.0012,0.161,-5.697,0.0523,124.08,4
992,Unpaid Intern,Inside (The Songs),Bo Burnham,2021-06-10,34050,72,0.68,0.427,0.715,0.0,0.184,-6.557,0.0916,170.39,4
